affiliation_id,person_id,party_id,start_date,end_date,role,source_ids
AFF-5104a65cfb1a,TNP-00367,PTY-bbfe9bb6d793,,,,MARSAD_ANC
AFF-cbac9bac5ca3,TNP-00368,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-97e763829f02,TNP-00369,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-00399b8317db,TNP-00370,PTY-bb9202bb86da,,,,MARSAD_ANC
AFF-980f1926c287,TNP-00371,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-35f8281ab2ca,TNP-00372,PTY-ac4a3d2a8128,,,,MARSAD_ANC
AFF-3b27c9b23fd1,TNP-00373,PTY-JOMHOURI,,,,MARSAD_ANC
AFF-bd84316944c1,TNP-00374,PTY-a8c344e9039d,,,,MARSAD_ANC
AFF-1d30b5cac48d,TNP-00375,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-ddb6c32e437b,TNP-00376,PTY-7ad4295a0093,,,,MARSAD_ANC
AFF-63f9da254f3e,TNP-00377,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-b960bcfdea47,TNP-00378,PTY-CPR,,,,MARSAD_ANC
AFF-fb9de06ac3af,TNP-00379,PTY-efb0809dca6b,,,,MARSAD_ANC
AFF-f99dc29cba49,TNP-00380,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-6ff3cade8244,TNP-00238,PTY-7ad4295a0093,,,,MARSAD_ANC
AFF-06fbc619ef70,TNP-00381,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-000c0164cefe,TNP-00382,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-ff00a2e3e3f6,TNP-00383,PTY-6be99d2e724f,,,,MARSAD_ANC
AFF-fa62679ef540,TNP-00384,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-62375c1fbd3a,TNP-00385,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-b8c714341696,TNP-00324,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-2b5daa0c3e49,TNP-00386,PTY-52e09019f2f2,,,,MARSAD_ANC
AFF-36e387c0641f,TNP-00387,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-6fa111b9d11e,TNP-00388,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-ee6e74c7007f,TNP-00267,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-f13bf901b097,TNP-00389,PTY-6be99d2e724f,,,,MARSAD_ANC
AFF-cdee8359d0ab,TNP-00264,PTY-20b849ddfcb3,,,,MARSAD_ANC
AFF-9cc3c56c28e7,TNP-00390,PTY-ETTAKATOL,,,,MARSAD_ANC
AFF-77494eda26c8,TNP-00391,PTY-INDEPENDENT,,,,MARSAD_ANC
AFF-e64f71882f88,TNP-00392,PTY-e5c16bf2604d,,,,MARSAD_ANC
AFF-39954265e4c2,TNP-00393,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-2d9d027dff14,TNP-00394,PTY-509dbc650cec,,,,MARSAD_ANC
AFF-97f985fb07cc,TNP-00395,PTY-ENNAHDHA,,,,MARSAD_ANC
AFF-8eed2af49834,TNP-00396,PTY-ENNAHDHA,,,,MARSAD_ANC
