person_id,name_lat,bloc,strong_ties_before,strong_ties_cross_before,strong_ties_after,strong_ties_cross_after,strong_ties_after_later,strong_ties_cross_after_later
TNP-00007,Hichem Hosni,No bloc,1,0,0,0,0,0
TNP-00141,Anouar Marzouki,Democratic Transition,2,1,9,3,0,0
TNP-00199,Fathi Ayadi,Ennahdha,92,12,62,0,73,6
TNP-00247,Latifa Habachi,Ennahdha,88,8,69,4,70,4
TNP-00264,Mehdi Ben Gharbia,Democratic Alliance,1,0,0,0,0,0
TNP-00267,Moez Belhaj Rhouma,Ennahdha,80,7,31,2,47,7
TNP-00277,Mohamed Karim Krifa,No bloc,3,1,1,1,2,2
TNP-00289,Mongi Rahoui,Democratic Bloc,5,5,10,7,0,0
TNP-00301,Neji Jmal,Ennahdha,94,11,57,3,67,2
TNP-00324,Sahbi Atig,Ennahdha,98,14,58,0,69,2
TNP-00332,Samia Abbou,CPR,1,0,3,2,2,1
TNP-00357,Yamina Zoghlami,Ennahdha,98,14,55,6,75,7
TNP-00364,Zied Laadhari,Ennahdha,94,13,68,6,66,7
TNP-00367,Ibrahim Hamdi,Loyalty to the Revolution,4,3,0,0,0,0
TNP-00368,Ibrahim Kassas,No bloc,0,0,0,0,0,0
TNP-00369,Ahmed Mechergui,Ennahdha,94,11,64,3,50,1
TNP-00370,Ahmed Essefi,No bloc,0,0,0,0,0,0
TNP-00371,Ahmed Smiai,Ennahdha,81,7,1,1,0,0
TNP-00372,Ahmed Brahim,Democratic Bloc,2,2,4,3,0,0
TNP-00374,Azed Badi,Loyalty to the Revolution,4,1,9,8,28,26
TNP-00375,Oussama Al Saghir,Ennahdha,96,12,83,7,56,1
TNP-00377,Essia Naffati,Ennahdha,98,15,64,2,66,5
TNP-00378,Ikbel Msadaa,CPR,6,2,19,15,5,2
TNP-00379,Lazhar Chamli,CPR,1,0,1,1,0,0
TNP-00380,Bechir Chammem,Ennahdha,99,16,57,2,33,4
TNP-00381,Jdidi Essbouîi,No bloc,0,0,0,0,0,0
TNP-00382,Habib Ellouz,Ennahdha,97,13,2,0,32,4
TNP-00383,Habib Khedher,Ennahdha,95,11,64,3,69,2
TNP-00384,Hasni Badri,Democratic Transition,0,0,4,2,0,0
TNP-00385,Zohra Smida,Ennahdha,97,14,65,9,42,3
TNP-00386,Sadok Chourou,Ennahdha,80,8,39,0,17,5
TNP-00387,Tahar Hmila,No bloc,3,1,0,0,1,1
TNP-00388,Arbi Abid,Ettakatol,76,73,31,29,30,27
TNP-00389,Ferjani Doghmane,Ennahdha,101,17,19,0,32,6
TNP-00390,Moncef Cherni,Democratic Transition,4,2,6,3,3,2
TNP-00391,Mouldi Riahi,Ettakatol,98,94,43,40,54,51
TNP-00392,Naceur Brahmi,No bloc,1,1,0,0,0,0
TNP-00393,Nafti Mahdhi,Ennahdha,95,11,31,1,56,4
TNP-00394,Hedi Ben Braham,Ennahdha,100,16,65,3,77,7
TNP-00395,Hedi Chaouech,No bloc,3,3,8,6,0,0
TNP-00396,Walid Bennani,Ennahdha,93,9,67,5,67,4
TNP-00397,Amel Azzouz,Ennahdha,95,11,64,4,68,4
TNP-00398,Amel Ghouil,Ennahdha,97,13,69,9,68,3
TNP-00399,Amira Marzouk,No bloc,7,6,4,3,0,0
TNP-00400,Iyed Dahmani,No bloc,6,2,5,3,17,17
TNP-00401,Imen Ben Mhamed,Ennahdha,99,15,60,2,68,9
TNP-00403,Badreddine Abdelkafi,Ennahdha,97,14,79,11,78,7
TNP-00404,Basma Jebali,Ennahdha,93,13,71,6,64,1
TNP-00405,Bechir Lazzem,Ennahdha,95,12,71,7,75,5
TNP-00406,Baya Jaouadi,Ennahdha,97,13,36,7,17,4
TNP-00408,Jalel Bouzid,Ettakatol,86,81,13,10,31,28
TNP-00410,Jamel Touir,Ettakatol,31,30,4,4,1,1
TNP-00411,Jawhara Tiss,Ennahdha,100,16,45,1,69,3
TNP-00412,Hatem Klaii,No bloc,3,3,5,3,0,0
TNP-00413,Hafedh Ibrahim Lassoued,Ennahdha,100,16,73,8,75,8
TNP-00414,Habiba Triki,Ennahdha,96,12,64,1,62,5
TNP-00415,Hassan Radhouani,No bloc,2,2,5,4,3,3
TNP-00416,Hasna Mersit,No bloc,1,1,0,0,0,0
TNP-00417,Hattab Barakati,No bloc,1,0,0,0,1,0
TNP-00418,Halima Guenni,Ennahdha,98,14,17,1,70,12
TNP-00419,Hanène Sassi,Democratic Transition,13,12,4,4,20,20
TNP-00420,Khmais Ksila,No bloc,1,1,2,2,0,0
TNP-00421,Khira Sghairi,Ennahdha,95,12,63,9,10,1
TNP-00422,Dalila Babba,Ennahdha,101,17,56,2,69,4
TNP-00423,Dalila Bouain,Ennahdha,95,12,65,2,67,6
TNP-00424,Rabeh Khraifi,No bloc,8,3,6,4,12,12
TNP-00425,Rabiî Abdi,Loyalty to the Revolution,5,4,0,0,3,2
TNP-00426,Rabiaa Najlaoui,No bloc,0,0,0,0,0,0
TNP-00427,Rafik Tlili,Loyalty to the Revolution,0,0,0,0,1,1
TNP-00428,Romdhane Doghmani,Democratic Transition,99,99,43,43,23,23
TNP-00429,Rim Thairi,No bloc,0,0,0,0,1,0
TNP-00430,Rim Mahjoub,Democratic Bloc,18,12,4,3,4,0
TNP-00431,Zied Doulatli,Ennahdha,92,11,64,3,61,4
TNP-00432,Samia Ferchichi,Ennahdha,99,15,76,8,72,3
TNP-00433,Souad Abderrahim,Ennahdha,90,14,11,2,21,8
TNP-00434,Saâd Bouaïche,Democratic Transition,2,1,6,2,0,0
TNP-00435,Said Kharchoufi,No bloc,0,0,0,0,0,0
TNP-00436,Salma Baccar,Democratic Bloc,6,3,13,7,5,1
TNP-00437,Salma Sarsout,Ennahdha,98,14,39,1,54,2
TNP-00438,Salma Hedia Mabrouk,Democratic Bloc,5,2,2,0,0,0
TNP-00440,Selim Ben Abdessalam,No bloc,6,3,8,8,6,5
TNP-00441,Slimane Hlal,Ennahdha,96,12,67,9,19,3
TNP-00442,Samir Ben Amor,CPR,12,7,3,1,7,7
TNP-00443,Samir Bettaieb,Democratic Bloc,7,4,3,1,7,3
TNP-00444,Samira Merai,Democratic Bloc,9,3,10,4,5,1
TNP-00445,Sana Mersni,Ennahdha,99,15,65,2,70,2
TNP-00446,Sana Haddad,Ennahdha,88,8,42,0,62,2
TNP-00447,Sonia Toumia,Ennahdha,99,15,14,4,0,0
TNP-00448,Chokri Yaich,Democratic Alliance,6,6,8,5,8,4
TNP-00449,Chokri Kastalli,Democratic Alliance,2,2,0,0,5,2
TNP-00450,Chokri Arfaoui,Democratic Transition,14,12,6,3,0,0
TNP-00451,Salah Chouaib,No bloc,2,0,2,2,0,0
TNP-00452,Salha Ben Aicha,Ennahdha,96,12,41,1,68,1
TNP-00453,Slaheddine Zahaf,Democratic Bloc,0,0,2,1,1,1
TNP-00454,Slaheddine Elhiba,Ennahdha,96,12,74,6,62,0
TNP-00455,Dhamir Mannai,No bloc,0,0,2,1,0,0
TNP-00456,Tarek Labidi,Ettakatol,35,33,0,0,3,3
TNP-00457,Tarek Bouaziz,Democratic Transition,1,0,9,6,1,0
TNP-00458,Adel Ben Attia,Ennahdha,100,16,53,6,75,5
TNP-00459,Aicha Dhaouadi,Ennahdha,98,14,63,2,56,1
TNP-00460,Abdelbasset Becheikh,Ennahdha,97,15,52,9,62,4
TNP-00461,Abdelhalim Zouari,Ennahdha,98,14,67,7,66,2
TNP-00463,Abderrazak Khallouli,Democratic Transition,0,0,0,0,0,0
TNP-00465,Abdessattar Dhifi,Loyalty to the Revolution,32,32,8,8,0,0
TNP-00466,Abdessalem Chaabane,CPR,7,2,25,22,1,1
TNP-00467,Abdelaziz Chaabane,Ennahdha,95,13,11,0,21,4
TNP-00468,Abdelaziz Kotti,No bloc,3,1,1,1,0,0
TNP-00469,Abdelkader Ben Khmis,Democratic Bloc,3,1,7,7,1,1
TNP-00470,Abdelkader Kadri,Ennahdha,99,15,70,6,72,6
TNP-00471,Abdelmajid Najar,Ennahdha,94,12,68,4,60,2
TNP-00473,Issam Chebbi,No bloc,8,4,5,3,1,1
TNP-00474,Ali Bechrifa,Democratic Bloc,2,1,7,4,6,2
TNP-00475,Ali Fares,Ennahdha,93,14,51,9,17,3
TNP-00476,Ali Houiji,Loyalty to the Revolution,0,0,0,0,0,0
TNP-00477,Imed Hammami,Ennahdha,96,12,51,1,52,2
TNP-00478,Omar Chetoui,CPR,4,1,0,0,1,1
TNP-00479,Fadhel Elouej,No bloc,0,0,0,0,0,0
