person_id,committee_id,committee_name_ar,committee_type,assembly_id,role,start_date,end_date
TNP-00001,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,rapporteur,2023-05-23,2026-01-25
TNP-00001,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,member,2026-01-26,
TNP-00002,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00002,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,vice_chair,2026-01-26,
TNP-00003,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,member,2023-05-23,
TNP-00004,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,chair,2023-05-23,2025-01-02
TNP-00004,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00004,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,member,2026-01-26,
TNP-00005,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,chair,2023-05-23,2026-01-25
TNP-00005,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,rapporteur,2026-01-26,
TNP-00006,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00006,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00007,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00007,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,vice_chair,2026-01-26,
TNP-00008,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,chair,2023-05-23,2025-01-02
TNP-00008,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00008,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,rapporteur,2026-01-26,
TNP-00009,CMT-10ce63ee42df,لجنة التخطيط الإستراتيجي والتنمية المستدامة والنقل والبنية التحتية والتهيئة العمرانية,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00009,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2026-01-26,
TNP-00010,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,member,2023-05-23,
TNP-00011,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00011,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,member,2026-01-25,
TNP-00012,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,rapporteur,2023-05-23,
TNP-00013,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,vice_chair,2023-05-23,2025-01-02
TNP-00013,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00013,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2026-01-26,
TNP-00014,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,chair,2023-05-23,2025-05-09
TNP-00015,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00015,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,member,2025-01-03,2026-01-14
TNP-00016,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00016,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,rapporteur,2025-01-03,2026-01-25
TNP-00016,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,member,2026-01-26,
TNP-00017,CMT-b3ceee509580,لجنة تنظيم الإدارة وتطويرها والرقمنة والحوكمة ومكافحة الفساد,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00017,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00017,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,vice_chair,2026-01-26,
TNP-00018,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00018,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,vice_chair,2025-01-03,2026-01-24
TNP-00018,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,member,2026-01-25,
TNP-00019,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00019,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,vice_chair,2025-01-03,2026-01-25
TNP-00019,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2026-01-26,
TNP-00020,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00020,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,rapporteur,2025-01-03,2026-01-25
TNP-00020,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2026-01-26,
TNP-00021,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00021,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2025-01-03,
TNP-00022,CMT-10ce63ee42df,لجنة التخطيط الإستراتيجي والتنمية المستدامة والنقل والبنية التحتية والتهيئة العمرانية,standing,ARP-2023,vice_chair,2023-05-23,2025-01-02
TNP-00022,CMT-10ce63ee42df,لجنة التخطيط الإستراتيجي والتنمية المستدامة والنقل والبنية التحتية والتهيئة العمرانية,standing,ARP-2023,member,2025-01-03,
TNP-00023,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,
TNP-00024,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2023-05-23,
TNP-00025,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2023-05-23,
TNP-00026,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,vice_chair,2023-05-23,2025-01-02
TNP-00026,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,rapporteur,2025-01-03,2026-01-25
TNP-00026,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2026-01-26,
TNP-00027,CMT-b3ceee509580,لجنة تنظيم الإدارة وتطويرها والرقمنة والحوكمة ومكافحة الفساد,standing,ARP-2023,vice_chair,2023-05-23,
TNP-00028,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00029,CMT-b3ceee509580,لجنة تنظيم الإدارة وتطويرها والرقمنة والحوكمة ومكافحة الفساد,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00029,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,member,2026-01-26,
TNP-00030,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00030,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,chair,2025-01-03,2026-01-25
TNP-00030,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,member,2026-01-26,
TNP-00031,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,chair,2023-05-23,2025-01-02
TNP-00031,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,member,2025-01-03,
TNP-00032,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00032,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,rapporteur,2026-01-26,
TNP-00033,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,rapporteur,2023-05-23,2025-01-02
TNP-00033,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,chair,2025-01-03,2026-01-25
TNP-00033,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,member,2026-01-26,
TNP-00034,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00034,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00034,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,member,2026-01-26,
TNP-00035,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,vice_chair,2023-05-23,2025-01-02
TNP-00035,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,member,2025-01-03,
TNP-00036,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2023-05-23,
TNP-00037,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00037,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,vice_chair,2025-01-03,2026-01-25
TNP-00037,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,member,2026-01-26,
TNP-00038,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00038,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,rapporteur,2025-01-03,2026-01-25
TNP-00038,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2026-01-26,
TNP-00039,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,rapporteur,2023-05-23,2025-01-02
TNP-00039,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00039,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,chair,2026-01-26,
TNP-00040,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2025-01-03,
TNP-00041,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2023-05-23,2026-01-24
TNP-00041,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,chair,2026-01-25,
TNP-00042,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00042,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,vice_chair,2025-01-03,2026-01-24
TNP-00042,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,member,2026-01-25,
TNP-00043,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,chair,2023-05-23,
TNP-00044,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00044,CMT-5267b383ff24,لجنة النظام الداخلي والقوانين الإنتخابية والقوانين البرلمانية والوظيفة الإنتخابية,standing,ARP-2023,member,2025-01-03,
TNP-00045,CMT-b3ceee509580,لجنة تنظيم الإدارة وتطويرها والرقمنة والحوكمة ومكافحة الفساد,standing,ARP-2023,member,2023-05-23,2026-01-14
TNP-00046,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00046,CMT-966af1bec2c4,لجنة المالية والميزانية,standing,ARP-2023,chair,2026-01-26,
TNP-00047,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,member,2023-05-23,2026-01-24
TNP-00047,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,member,2026-01-25,
TNP-00048,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,
TNP-00049,CMT-b3ceee509580,لجنة تنظيم الإدارة وتطويرها والرقمنة والحوكمة ومكافحة الفساد,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00049,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,member,2025-01-03,2026-01-25
TNP-00049,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,member,2026-01-26,
TNP-00050,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00050,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,vice_chair,2026-01-26,
TNP-00051,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00051,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,chair,2025-01-03,2026-01-25
TNP-00051,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2026-01-26,
TNP-00052,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00052,CMT-7c0357a9f3f7,لجنة السياحة والثقافة والخدمات والصناعات التقليدية,standing,ARP-2023,member,2025-01-03,
TNP-00053,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00053,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,chair,2026-01-26,
TNP-00054,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,member,2023-05-23,2026-01-14
TNP-00055,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,chair,2023-05-23,2025-01-02
TNP-00055,CMT-9dc809177956,لجنة التربية والتكوين المهني والبحث العلمي والشباب والرياضة,standing,ARP-2023,member,2025-01-03,
TNP-00056,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,member,2023-05-23,2026-01-24
TNP-00056,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,member,2026-01-26,
TNP-00057,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2023-05-23,2026-01-25
TNP-00057,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,rapporteur,2026-01-26,
TNP-00058,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,member,2023-05-23,2025-10-24
TNP-00058,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2026-01-26,
TNP-00059,CMT-76cc55ae8838,لجنة الحقوق والحريات,standing,ARP-2023,vice_chair,2023-05-23,2025-01-02
TNP-00059,CMT-b3ceee509580,لجنة تنظيم الإدارة وتطويرها والرقمنة والحوكمة ومكافحة الفساد,standing,ARP-2023,member,2025-01-03,
TNP-00060,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00060,CMT-309f56b78ead,لجنة الدفاع والأمن والقوات الحاملة للسلاح,standing,ARP-2023,vice_chair,2025-01-03,2026-01-25
TNP-00060,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2026-01-26,
TNP-00061,CMT-18172a2cec3f,لجنة الصحة وشؤون المرأة والأسرة والشؤون الإجتماعية وذوي الإعاقة,standing,ARP-2023,member,2025-01-03,
TNP-00062,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00062,CMT-6d49329b2466,لجنة الصناعة والتجارة والثروات الطبيعية والطاقة والبيئة,standing,ARP-2023,vice_chair,2025-01-03,2026-01-25
TNP-00062,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,member,2026-01-26,2026-07-13
TNP-00062,CMT-5a174a8e00bb,لجنة الفلاحة والأمن الغذائي والمائي والصيد البحري,standing,ARP-2023,chair,2026-07-14,
TNP-00063,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,member,2023-05-23,2025-01-02
TNP-00063,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,member,2026-01-26,
TNP-00064,CMT-d74c07127db9,لجنة العلاقات الخارجية والتعاون الدولي وشؤون التونسيين بالخارج والهجرة,standing,ARP-2023,vice_chair,2023-05-23,2025-01-02
TNP-00064,CMT-56efc6c780f9,لجنة التشريع العام,standing,ARP-2023,member,2025-01-03,2026-01-25
